,Error_L1,Error_L2,F1_score,K,RMS_noisy,RMS_true,SNR,accuracy,lambda,precision,recall,threshold
623,0.04490930995156177,0.0001326651713351758,0.923076923076923,1000,4.993294770094612e-08,5.1049485991719365e-08,3390070.346102173,0,0.0001,1.0,0.8571428571428571,0.01
624,0.03198515978031994,6.510314431359713e-05,1.0,1000,4.517209763866214e-09,4.3084962147976455e-09,15370294.9222597,1,0.0001,1.0,1.0,0.01
625,0.07565201367508456,0.0005258218458783162,1.0,1000,2.333231880120124e-08,2.2668072719381252e-08,9893359.008679612,1,0.0001,1.0,1.0,0.01
626,0.039407484702154,0.00014569889014079466,1.0,1000,3.565901650155299e-08,3.6992246189064765e-08,10292459.273673065,1,0.0001,1.0,1.0,0.01
627,0.07553056506680944,0.0006894888123366154,1.0,1000,1.0330373313986589e-07,1.043146703099629e-07,6891405.296455475,1,0.0001,1.0,1.0,0.01
628,0.04256135159828114,0.00012553593881543088,1.0,1000,1.3772955349802739e-08,1.4533911254489732e-08,9681985.169500394,1,0.0001,1.0,1.0,0.01
629,0.06271347461227332,0.0004766087395651371,1.0,1000,1.0626891289928975e-08,1.0731715207778886e-08,15707355.68365916,1,0.0001,1.0,1.0,0.01
630,0.03832044275171737,9.049716325467098e-05,1.0,1000,6.7001957716380844e-09,6.021746503932836e-09,10081547.810890634,1,0.0001,1.0,1.0,0.01
631,0.05704968020828854,0.0002030028821329825,1.0,1000,3.193280956459266e-08,3.208387446492759e-08,7196272.568407819,1,0.0001,1.0,1.0,0.01
632,0.07267609917553924,0.0006070066626841725,0.9333333333333333,1000,5.5504980366896874e-08,5.7244035443234925e-08,9390135.088540317,0,0.0001,0.875,1.0,0.01
633,0.050499221365975726,0.00026403099625666175,1.0,1000,9.031265851435838e-09,8.542296684367466e-09,8834114.099660346,1,0.0001,1.0,1.0,0.01
634,0.031802546536696945,6.331843781143101e-05,1.0,1000,4.292476712484471e-08,4.154444319438386e-08,9533415.187859753,1,0.0001,1.0,1.0,0.01
635,0.040163828205534574,0.0001473655809652941,1.0,1000,2.994704677768344e-08,2.8888524847178887e-08,11327942.29570074,1,0.0001,1.0,1.0,0.01
636,0.022566428617633975,3.023946146654081e-05,1.0,1000,1.7537459152519877e-08,1.761108952469001e-08,8217449.397257577,1,0.0001,1.0,1.0,0.01
637,0.03973908831787165,0.00013203145201466982,0.9333333333333333,1000,5.9462206988422615e-09,5.301202010949249e-09,22784426.276152905,0,0.0001,1.0,0.875,0.01
638,0.0493221316780428,0.000161899581048573,1.0,1000,5.0918899503549095e-08,5.095980434605448e-08,7033418.417351407,1,0.0001,1.0,1.0,0.01
639,0.03713082085659686,9.128747788541459e-05,1.0,1000,1.1779470182702447e-08,1.1090323570151096e-08,16186109.638367224,1,0.0001,1.0,1.0,0.01
640,0.04384155449708859,0.00010565679595450302,1.0,1000,1.2347700359546929e-08,1.193410848482279e-08,18418027.21348138,1,0.0001,1.0,1.0,0.01
641,0.06487673475590125,0.00033976107516860436,1.0,1000,4.775789050364465e-08,4.795136155473301e-08,6178222.3753605895,1,0.0001,1.0,1.0,0.01
642,0.055399796347987196,0.0002666609800476845,1.0,1000,8.710505684466881e-08,8.541901087299991e-08,9153415.587739497,1,0.0001,1.0,1.0,0.01
643,0.03583437060868609,8.2483039871064e-05,1.0,1000,6.149156533063265e-09,6.337644830621515e-09,3526792.852648002,1,0.0001,1.0,1.0,0.01
644,0.059542027975834,0.00027304515975144143,1.0,1000,6.087074522906066e-08,6.222308100955407e-08,10225242.239042288,1,0.0001,1.0,1.0,0.01
645,0.04390908469475965,0.00020184446937294203,1.0,1000,1.9645065151126728e-08,1.953559021523235e-08,30988109.58779991,1,0.0001,1.0,1.0,0.01
646,0.05813125218810966,0.0004771404606728906,0.9333333333333333,1000,4.320436436450599e-08,4.278016557566517e-08,9254916.581258634,0,0.0001,0.875,1.0,0.01
647,0.040552808030003766,0.0001270028936579642,1.0,1000,4.218704479991824e-08,4.084921670665273e-08,7794213.99234377,1,0.0001,1.0,1.0,0.01
648,0.052939503164214266,0.0002663214170420462,1.0,1000,8.160228438744098e-09,7.850440053694407e-09,13585471.446518835,1,0.0001,1.0,1.0,0.01
649,0.08980741430080592,0.0006101410993845838,1.0,1000,4.511376131271054e-08,4.340242524838267e-08,9470226.425090907,1,0.0001,1.0,1.0,0.01
650,0.07733810673790009,0.0005333401932186514,1.0,1000,5.5711587847499074e-08,5.748912442871019e-08,9446775.322941164,1,0.0001,1.0,1.0,0.01
651,0.03691246432107255,0.0001094067917672692,1.0,1000,9.787706079490074e-09,9.53193716477577e-09,22491807.504256614,1,0.0001,1.0,1.0,0.01
652,0.057851991896458795,0.0002162206338142485,1.0,1000,1.0934931857502137e-08,1.1493503856441694e-08,8402702.22521358,1,0.0001,1.0,1.0,0.01
653,0.05558702689335774,0.00033606649542411026,1.0,1000,8.535638763629097e-09,9.140025350455269e-09,12942075.628001146,1,0.0001,1.0,1.0,0.01
