,Deviation,Error_L1_mean,Error_L2_mean,K,RMS_noisy_mean,RMS_true_mean,SNR,accuracy_mean,delta,lambda,precision_mean,recall_mean,thresh
13,2.5e-05,0.4442107920291733,0.04106801278177373,30,4.59013812426957e-06,4.590519370111514e-06,11373205.551164415,0.8587301587301588,1e-07,2.1544346900318822e-07,0.6066032181899053,0.8753174603174603,0.01
14,2.5e-05,0.8435453922891233,0.07802955982161255,30,1.180784289351502e-05,1.1806432093988865e-05,11373205.551164415,0.7031746031746032,1e-07,4.641588833612773e-06,0.3721890543138542,0.8705555555555555,0.01
15,2.5e-05,1.2362811078967606,0.1665317125251197,30,0.00044089794337167157,0.00044088347493342455,11373205.551164415,0.5722222222222223,1e-07,0.0001,0.29346280557821114,0.829484126984127,0.01
16,2.5e-05,0.0822608173360226,0.0029869088748985004,30,1.6830837217681384e-07,1.684135457622202e-07,11373205.551164415,0.9619047619047619,1e-06,1e-08,0.8861309523809523,0.9270238095238097,0.01
17,2.5e-05,0.30614638541788547,0.020756794270704516,30,1.3185388813971003e-06,1.3173217230857574e-06,11373205.551164415,0.8880952380952382,1e-06,2.1544346900318822e-07,0.6765729202571308,0.873531746031746,0.01
18,2.5e-05,0.5768492813088871,0.05402521290754761,30,4.982623690666187e-06,4.982649529020853e-06,11373205.551164415,0.8174603174603176,1e-06,4.641588833612773e-06,0.5247235661941544,0.8747222222222222,0.01
19,2.5e-05,663.7966478537285,800759.4104621051,30,1528.7738936319447,1528.7738286130113,11373205.551164415,0.6976190476190475,1e-06,0.0001,0.37789712775139256,0.8190343915343915,0.01
20,2.5e-05,0.03024070720301965,0.0006997141019700419,30,1.1308696369447922e-08,1.0855722364320091e-08,11373205.551164415,0.9865079365079364,1e-05,1e-08,0.9556168831168832,0.9719047619047619,0.01
21,2.5e-05,0.1224474535778006,0.006183640891278641,30,3.408605157712263e-07,3.4129150666385886e-07,11373205.551164415,0.9428571428571428,1e-05,2.1544346900318822e-07,0.831321478086184,0.9064682539682539,0.01
22,2.5e-05,0.3333024698834054,0.025516991437805146,30,2.5973168802105054e-06,2.5967709216380074e-06,11373205.551164415,0.8865079365079365,1e-05,4.641588833612773e-06,0.6769221274368334,0.8794841269841269,0.01
23,2.5e-05,0.7055423514527729,0.08358477428644898,30,2.8121809148081966e-05,2.8135012768480484e-05,11373205.551164415,0.7769841269841271,1e-05,0.0001,0.4694886513268866,0.8169841269841269,0.01
24,2.5e-05,0.007049023060569956,2.6261014797619105e-05,30,9.51175895076936e-10,5.14328380402353e-10,11373205.551164415,0.9976190476190476,0.0001,1e-08,1.0,0.986904761904762,0.01
25,2.5e-05,0.04277885596727717,0.0010745093357935561,30,3.522710425027662e-08,3.49161237335056e-08,11373205.551164415,0.9746031746031746,0.0001,2.1544346900318822e-07,0.9185930735930735,0.9473809523809523,0.01
26,2.5e-05,0.16900488403544142,0.009287090775595872,30,7.170775256473313e-07,7.172596151083169e-07,11373205.551164415,0.9277777777777776,0.0001,4.641588833612773e-06,0.7768536556036556,0.8925793650793652,0.01
27,2.5e-05,13.705191147336215,377.7608396996718,30,1.694948586922111,1.6949451214045157,11373205.551164415,0.8317460317460318,0.0001,0.0001,0.5281139380055789,0.7741269841269841,0.01
28,2.5e-05,0.003701636999376479,5.537242691049623e-06,30,5.96570981741861e-10,1.7574987360966686e-10,11373205.551164415,0.9984126984126984,0.001,1e-08,1.0,0.9910714285714286,0.01
29,2.5e-05,0.005601102498210882,4.092872159871264e-05,30,1.5509232533624324e-09,1.0420380315810037e-09,11373205.551164415,0.9984126984126984,0.001,2.1544346900318822e-07,1.0,0.9891666666666666,0.01
30,2.5e-05,0.0505921299359872,0.0014756716671611016,30,8.16276141199513e-08,8.140870972426918e-08,11373205.551164415,0.9738095238095238,0.001,4.641588833612773e-06,0.918888888888889,0.9342857142857143,0.01
31,2.5e-05,0.2952698346000204,0.026288779912926077,30,2.281786922369056e-06,2.280636047126989e-06,11373205.551164415,0.922222222222222,0.001,0.0001,0.772758537758538,0.7947619047619047,0.01
32,2.5e-05,0.004930056731712181,5.617653491573324e-06,30,5.751998783751062e-10,1.9141556794709477e-10,11373205.551164415,0.9984126984126984,0.01,1e-08,1.0,0.9910714285714286,0.01
33,2.5e-05,0.0019278318803758719,3.4566157898890704e-06,30,6.059534267970505e-10,1.425993126758149e-10,11373205.551164415,1.0,0.01,2.1544346900318822e-07,1.0,1.0,0.01
34,2.5e-05,0.01631513605446627,0.0005335620162855754,30,1.098801391865445e-08,1.0421136871509579e-08,11373205.551164415,0.9912698412698412,0.01,4.641588833612773e-06,0.9805555555555556,0.9658333333333333,0.01
35,2.5e-05,0.22480177938661305,0.02137770281607469,30,1.0016860087115966e-06,1.0017430637732963e-06,11373205.551164415,0.9452380952380951,0.01,0.0001,0.8728174603174603,0.8142460317460318,0.01
36,2.5e-05,0.007160260111211476,1.8118104682598363e-05,30,6.227798377296283e-10,2.5017609079784234e-10,11373205.551164415,0.9984126984126984,0.1,1e-08,1.0,0.9910714285714286,0.01
37,2.5e-05,0.004300897501692464,4.364215861416459e-06,30,5.588792495467879e-10,1.7639970421945434e-10,11373205.551164415,0.9984126984126984,0.1,2.1544346900318822e-07,1.0,0.9910714285714286,0.01
38,2.5e-05,0.0026006223931202494,5.548176332211367e-06,30,6.908772209087641e-10,2.215118882765453e-10,11373205.551164415,0.9992063492063491,0.1,4.641588833612773e-06,1.0,0.9958333333333333,0.01
39,2.5e-05,0.041956242345898086,0.0015652096900552461,30,4.6872908986609157e-08,4.6919751580592496e-08,11373205.551164415,0.9833333333333333,0.1,0.0001,0.9699999999999999,0.9288095238095238,0.01
